Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
97,crowded,airport,elevator,41,40,1.00,1.00,4.51,0.07,3.00,1.41,4.95,3.15,0.08,3.90,1.58,4.75,0.98,0.22,visual,0.35,visual,0.35,unidominant,3.71,0.00,2.29,0.76,4.62,Visual,0.41
98,crunching,cookies,gravel path,42,43,0.98,0.93,4.17,3.34,3.44,0.49,3.17,4.70,0.03,3.08,0.23,2.95,0.88,0.50,auditory,0.25,auditory,0.43,unidominant,3.71,3.05,2.14,0.43,2.14,Auditory,0.29
99,crying,child,woman,42,40,1.00,1.00,4.83,0.10,1.52,0.40,4.43,4.73,0.15,1.73,0.05,4.85,1.00,0.08,auditory,0.42,visual,0.42,bidominant,4.48,0.14,1.24,0.05,4.43,Auditory,0.43
100,curly,fries,hair,40,43,0.99,1.00,0.23,2.88,3.85,0.72,4.75,0.07,0.07,4.02,0.12,4.88,0.91,0.44,visual,0.36,visual,0.53,unidominant,0.00,0.29,3.86,0.00,4.76,Visual,0.53
101,curved,cookie cutter,female body,43,43,0.98,1.00,0.21,0.24,4.12,0.14,4.86,0.09,0.09,4.21,0.02,4.86,1.00,0.04,visual,0.49,visual,0.52,unidominant,0.10,0.11,3.95,0.00,4.50,Visual,0.52
102,cute,baby,puppy,40,41,1.00,1.00,3.08,0.18,1.98,0.83,4.85,2.39,0.00,3.05,0.83,4.98,0.98,0.20,visual,0.43,visual,0.44,unidominant,3.14,0.38,1.67,0.81,4.76,Visual,0.41
103,damp,fog,towel,43,42,1.00,0.98,0.21,0.70,3.72,1.77,3.09,0.68,0.59,4.80,2.51,3.34,0.99,0.12,haptic,0.37,haptic,0.35,unidominant,0.38,0.38,4.14,3.14,3.81,Haptic,0.32
104,dank,basement,environment,40,42,0.85,0.91,0.88,0.44,1.65,2.68,3.53,0.87,0.36,1.89,2.63,3.61,1.00,0.05,visual,0.34,visual,0.35,unidominant,0.87,0.73,1.18,2.80,3.47,Visual,0.30
105,dappled,shade,sunlight,43,40,0.65,0.64,0.39,0.29,0.96,0.11,4.43,0.20,0.04,1.19,0.12,4.50,1.00,0.08,visual,0.70,visual,0.74,unidominant,0.57,0.21,1.86,0.29,4.00,Visual,0.55
106,dark,chocolate,dungeon,43,43,1.00,1.00,0.02,4.02,0.19,2.40,4.56,0.42,0.14,0.56,0.33,4.98,0.73,0.75,visual,0.41,visual,0.75,unidominant,0.71,0.52,0.19,0.19,4.43,Visual,0.70
107,dazzling,headlight,performance,41,40,1.00,1.00,0.20,0.00,0.24,0.02,4.78,3.60,0.03,0.73,0.28,4.78,0.82,0.61,visual,0.91,visual,0.51,unidominant,0.62,0.10,0.38,0.24,4.90,Visual,0.77
108,dead,bird,silence,42,43,0.98,0.98,1.12,0.51,2.34,2.56,4.90,4.36,0.02,0.60,0.24,1.67,0.52,1.02,visual,0.38,auditory,0.63,bidominant,1.38,0.24,2.43,2.33,4.10,Visual,0.37
109,deafening,battle cry,roar,42,40,1.00,0.98,4.52,0.14,0.43,0.17,2.40,5.00,0.00,0.62,0.08,1.23,0.97,0.25,auditory,0.57,auditory,0.72,unidominant,5.00,0.05,0.19,0.00,1.24,Auditory,0.77
110,deep,color,well,40,43,0.96,1.00,0.08,0.00,0.24,0.05,4.90,2.86,0.09,1.67,0.30,4.58,0.83,0.59,visual,0.93,visual,0.47,unidominant,2.10,0.29,3.62,0.38,4.43,Visual,0.38
111,delicious,dessert,perfume,43,43,1.00,1.00,0.35,4.98,0.72,3.60,3.40,0.19,1.23,0.14,4.56,0.60,0.74,0.74,gustatory,0.35,olfactory,0.66,bidominant,1.33,4.71,1.33,4.19,3.38,Gustatory,0.23
112,dim,memory,twilight,43,43,0.98,1.00,1.57,0.71,0.95,0.86,2.36,0.28,0.00,0.02,0.02,4.84,0.77,0.69,visual,0.25,visual,0.94,unidominant,0.81,0.25,0.10,0.19,4.33,Visual,0.75
113,dirty,hands,sheets,42,43,0.98,1.00,0.20,1.46,3.85,3.24,4.41,0.19,0.33,3.23,3.40,4.56,0.98,0.19,visual,0.32,visual,0.37,unidominant,0.48,1.29,2.71,3.52,4.81,Visual,0.34
114,downy,baby's head,chick,42,40,0.76,0.68,0.41,0.19,3.47,0.50,3.59,1.11,0.14,2.70,0.30,3.93,0.98,0.22,visual,0.42,visual,0.46,unidominant,0.13,0.13,2.75,0.00,3.33,Visual,0.52
115,drab,curtains,social occasion,40,43,0.93,0.96,0.57,0.05,2.14,0.41,4.63,3.41,0.05,0.37,0.40,4.41,0.81,0.63,visual,0.59,visual,0.50,unidominant,1.26,1.37,1.11,0.74,4.11,Visual,0.39
116,dry,biscuit,riverbed,43,43,1.00,0.98,0.30,4.91,3.58,0.84,3.00,1.69,0.33,3.00,0.74,4.57,0.69,0.81,gustatory,0.36,visual,0.41,bidominant,0.33,2.52,4.29,0.43,3.57,Haptic,0.35
117,dull,sky,thud,40,41,1.00,0.98,0.50,0.10,0.28,0.38,4.88,3.70,0.00,1.20,0.05,1.70,0.50,1.05,visual,0.78,auditory,0.56,bidominant,2.33,1.24,0.57,1.19,4.29,Visual,0.39
118,dusty,plains,window-sill,43,42,0.95,0.98,0.93,1.05,3.00,2.27,4.68,0.20,0.37,4.07,0.90,4.73,0.95,0.32,visual,0.31,visual,0.44,unidominant,0.05,0.38,3.38,1.19,4.29,Visual,0.46
119,earthy,pigment,potato,42,40,0.98,1.00,0.15,0.54,1.44,0.85,4.26,0.00,3.38,2.93,2.48,3.15,0.78,0.68,visual,0.57,gustatory,0.28,bidominant,1.05,2.00,3.43,3.10,3.95,Visual,0.21
120,echoing,metro station,well,43,40,1.00,0.98,4.93,0.02,0.77,0.21,1.63,4.90,0.00,0.44,0.13,0.74,0.98,0.18,auditory,0.65,auditory,0.79,unidominant,4.71,0.00,0.33,0.00,0.52,Auditory,0.85
121,eggy,breath,hot spring,43,43,0.93,0.91,0.30,2.20,0.30,4.25,0.50,0.59,0.59,1.46,2.92,2.51,0.77,0.70,olfactory,0.52,olfactory,0.29,unidominant,0.14,4.38,1.05,4.33,2.86,Gustatory,0.33
122,elastic,hairband,pizza dough,41,40,1.00,1.00,0.83,0.00,4.68,0.05,3.88,0.08,2.13,4.48,0.33,3.80,0.93,0.37,haptic,0.50,haptic,0.41,unidominant,1.95,0.62,4.57,0.67,3.81,Haptic,0.34
123,elegant,dress,film star,42,43,0.98,1.00,0.56,0.05,2.78,0.20,4.95,2.30,0.00,0.74,0.58,4.88,0.88,0.49,visual,0.57,visual,0.57,unidominant,1.86,0.67,1.52,1.10,4.76,Visual,0.41
124,empty,coke bottle,milk carton,42,40,1.00,1.00,1.50,2.24,3.21,0.31,4.93,2.33,0.75,3.73,0.53,4.38,0.96,0.29,visual,0.38,visual,0.33,unidominant,1.65,0.25,3.60,0.15,4.75,Visual,0.44
125,enormous,elephant,mess,40,43,0.99,1.00,2.05,0.03,2.97,0.33,4.95,0.60,0.12,1.86,1.37,4.91,0.94,0.35,visual,0.48,visual,0.54,unidominant,1.19,0.10,3.86,0.33,4.76,Visual,0.46
126,faint,trace,whiff,43,43,0.95,0.91,1.85,1.02,1.61,1.46,3.88,0.87,0.59,0.38,3.41,0.79,0.60,0.92,visual,0.29,olfactory,0.50,bidominant,2.33,1.43,0.62,1.86,2.76,Visual,0.24
127,falling,darkness,rain,41,40,1.00,1.00,0.80,0.07,0.32,0.39,4.68,4.30,1.25,4.35,2.38,4.73,0.72,0.77,visual,0.74,visual,0.20,unidominant,3.00,0.19,1.81,0.19,4.86,Visual,0.46
128,fat,belly,hamburger,42,43,0.98,1.00,0.39,0.02,4.22,0.10,4.85,0.56,3.81,3.19,2.44,4.60,0.78,0.67,visual,0.50,visual,0.28,unidominant,0.38,1.55,3.76,0.95,4.62,Visual,0.38
129,fatty,croissant,raw meat,40,42,1.00,1.00,0.20,4.10,2.23,2.05,2.78,0.21,3.12,2.83,1.17,4.21,0.94,0.34,gustatory,0.34,visual,0.35,bidominant,0.33,4.38,1.86,1.71,3.67,Gustatory,0.34
130,fetid,socks,swamp,40,43,0.62,0.72,0.08,0.48,2.20,3.48,2.83,0.58,0.42,1.61,3.58,3.55,0.98,0.20,olfactory,0.37,olfactory,0.32,unidominant,,,,,,,
131,feverish,eyes,forehead,43,43,0.98,1.00,0.00,0.02,0.86,0.00,4.26,0.09,0.00,4.77,0.09,1.95,0.55,0.98,visual,0.83,haptic,0.69,bidominant,0.67,0.24,3.19,0.29,2.86,Haptic,0.41
132,filthy,bed linen,hair,41,40,1.00,1.00,0.07,0.32,3.24,3.80,4.51,0.15,0.80,4.28,3.90,4.55,0.99,0.13,visual,0.37,visual,0.32,unidominant,0.38,0.24,2.00,2.43,4.86,Visual,0.47
133,flaky,pastry,snow,42,43,0.98,1.00,1.00,4.07,4.10,0.54,4.29,0.93,1.23,3.98,0.51,4.40,0.92,0.39,visual,0.27,visual,0.35,unidominant,1.19,1.71,3.95,0.33,3.76,Haptic,0.33
134,flat,envelope,soft drink,42,40,1.00,1.00,0.19,0.24,4.57,0.14,4.79,1.63,4.93,0.73,0.88,2.38,0.42,1.13,visual,0.47,gustatory,0.40,bidominant,0.86,0.52,4.14,0.05,4.52,Visual,0.44
135,fleshy,bosom,nectarine,43,40,0.91,0.94,0.31,0.23,4.05,0.36,4.49,0.22,3.95,3.92,1.21,3.59,0.82,0.61,visual,0.45,gustatory,0.29,bidominant,0.10,2.15,3.57,0.90,4.29,Visual,0.38
136,flexible,drinking straw,ruler,43,43,1.00,1.00,0.53,0.40,4.53,0.00,4.09,0.42,0.02,4.63,0.02,4.05,1.00,0.07,haptic,0.47,haptic,0.50,unidominant,,,,,,,
137,flickering,fluorescent lighting,traffic light,41,40,1.00,1.00,1.93,0.02,0.41,0.12,4.78,1.00,0.00,0.18,0.00,4.95,0.98,0.19,visual,0.65,visual,0.81,unidominant,1.29,0.10,0.57,0.10,4.76,Visual,0.69
138,floppy,elephant ears,tortilla,43,40,1.00,0.97,0.72,0.02,2.86,0.07,4.88,1.00,2.62,4.38,0.66,4.08,0.88,0.50,visual,0.57,haptic,0.29,bidominant,0.14,0.24,4.19,0.14,4.24,Visual,0.46
139,floral,incense,wall paper,42,40,0.95,1.00,0.20,0.93,0.55,4.58,1.05,0.10,0.05,0.55,0.30,4.88,0.29,1.28,olfactory,0.60,visual,0.82,bidominant,0.14,1.35,1.52,3.81,4.81,Visual,0.40
140,flowery,hat,perfume,40,43,0.99,1.00,0.08,0.08,2.53,1.15,4.85,0.07,0.88,0.07,4.95,0.49,0.29,1.27,visual,0.55,olfactory,0.76,bidominant,0.00,0.57,1.86,3.90,4.43,Visual,0.41
141,fluffy,cotton ball,whipped cream,43,43,1.00,1.00,0.23,0.49,4.93,0.12,4.44,0.65,3.95,3.98,0.53,4.37,0.86,0.53,haptic,0.47,visual,0.28,bidominant,0.33,1.10,4.57,0.33,4.05,Haptic,0.41
142,foamy,dishwater,sea shore,40,41,0.98,1.00,0.79,0.87,4.21,1.38,4.74,1.49,0.49,3.68,1.34,4.71,0.99,0.14,visual,0.33,visual,0.36,unidominant,0.29,1.19,3.67,0.43,4.52,Visual,0.42
143,foggy,glasses,riverbank,42,43,0.98,1.00,0.15,0.10,1.98,0.20,4.85,0.67,0.40,1.88,1.26,4.77,0.97,0.23,visual,0.65,visual,0.49,unidominant,0.33,0.10,0.81,0.48,4.76,Visual,0.72
144,forked,lightning,tongue,42,40,0.95,0.81,1.53,0.20,0.40,0.15,4.55,0.33,0.66,3.06,0.09,4.03,0.82,0.61,visual,0.64,visual,0.48,unidominant,0.29,0.24,3.43,0.10,4.05,Visual,0.49
145,fragrant,bouquet,cinnamon,43,43,1.00,1.00,0.16,0.58,0.63,4.65,1.74,0.05,2.67,0.26,4.77,0.67,0.90,0.45,olfactory,0.58,olfactory,0.56,unidominant,0.24,2.76,0.24,5.00,0.95,Olfactory,0.52
146,freezing,hail,mountain pass,43,43,1.00,1.00,1.58,1.58,4.72,0.42,3.53,0.67,0.26,4.02,0.40,3.60,0.97,0.26,haptic,0.36,haptic,0.42,unidominant,0.67,2.10,4.76,0.62,3.95,Haptic,0.34
147,fresh,breath,rain,40,41,1.00,1.00,0.33,2.98,0.55,4.83,0.58,2.15,1.61,3.12,3.93,3.20,0.75,0.73,olfactory,0.49,olfactory,0.17,unidominant,1.00,4.10,2.43,4.52,3.95,Olfactory,0.22
148,frosty,grass,night,40,43,0.99,0.98,0.72,0.21,3.85,0.75,4.60,1.19,0.40,3.74,1.36,3.93,0.99,0.17,visual,0.43,visual,0.33,unidominant,1.05,0.95,3.76,0.86,4.05,Visual,0.30
149,fruity,bubble bath,candy,42,40,1.00,1.00,0.45,1.45,0.62,4.40,1.45,0.03,4.88,0.28,3.98,2.33,0.85,0.55,olfactory,0.47,gustatory,0.42,bidominant,0.24,4.76,0.90,4.43,3.24,Gustatory,0.33
150,fuzzy,chick,photograph,40,43,0.99,1.00,0.46,0.05,4.43,0.10,4.43,0.00,0.00,0.26,0.00,4.91,0.74,0.74,haptic,0.46,visual,0.95,bidominant,1.57,0.29,3.05,0.00,3.67,Visual,0.43
151,gamy,pheasant,venison,43,43,0.58,0.74,0.72,2.76,0.96,1.32,2.48,0.31,2.84,1.22,1.31,1.84,0.98,0.19,gustatory,0.25,gustatory,0.34,unidominant,0.43,2.21,2.79,2.07,2.79,Haptic,0.23
152,garlicky,breath,curry,41,40,1.00,1.00,0.05,2.05,0.15,4.88,0.54,0.18,4.90,0.53,4.30,1.78,0.89,0.48,olfactory,0.63,gustatory,0.40,bidominant,0.14,4.95,0.14,4.43,2.14,Gustatory,0.41
153,gigantic,storm,tree,42,43,0.98,1.00,4.27,0.29,2.10,1.07,4.93,0.72,0.05,3.26,0.67,4.98,0.84,0.57,visual,0.37,visual,0.51,unidominant,1.38,0.14,3.29,0.19,4.71,Visual,0.47
154,giggling,baby,girls,40,42,1.00,1.00,4.83,0.15,1.35,0.25,4.53,4.79,0.10,0.45,0.17,4.55,0.99,0.13,auditory,0.42,auditory,0.47,unidominant,4.71,0.00,0.57,0.00,3.95,Auditory,0.51
155,glamorous,dress,party,40,43,0.99,1.00,0.64,0.05,2.83,0.05,4.88,3.74,1.05,1.19,1.33,4.77,0.80,0.64,visual,0.57,visual,0.31,unidominant,1.71,0.24,1.57,1.24,4.67,Visual,0.47
156,glistening,diamond,waterfall,43,43,1.00,1.00,0.09,0.02,0.49,0.00,4.88,2.14,0.23,0.93,0.49,4.91,0.92,0.41,visual,0.89,visual,0.54,unidominant,0.95,0.14,0.62,0.19,4.38,Visual,0.67
157,glittery,paint,scarf,40,41,1.00,1.00,0.05,0.10,1.58,0.13,4.83,0.15,0.02,2.66,0.05,4.78,0.98,0.19,visual,0.72,visual,0.62,unidominant,0.76,0.05,2.00,0.10,4.67,Visual,0.61
158,glossy,fur,lipstick,43,42,0.98,0.98,0.43,0.14,3.88,0.43,4.64,0.29,1.80,3.73,0.83,4.66,0.96,0.28,visual,0.47,visual,0.39,unidominant,0.38,0.48,3.76,0.33,4.81,Visual,0.46
159,glowing,cheeks,firefly,42,40,0.98,1.00,0.17,0.15,1.88,0.12,4.76,0.55,0.10,0.38,0.03,4.93,0.95,0.31,visual,0.66,visual,0.82,unidominant,0.43,0.14,0.52,0.29,4.57,Visual,0.74
160,gold,bracelet,honey,43,40,1.00,0.98,0.47,0.26,1.60,0.35,4.84,0.08,1.23,0.33,0.49,4.83,0.95,0.33,visual,0.61,visual,0.68,unidominant,0.14,0.14,1.05,0.24,4.52,Visual,0.72
161,gooey,dough,porridge,40,42,1.00,1.00,0.58,2.90,4.78,0.65,3.80,0.79,4.21,3.98,0.98,4.12,0.98,0.22,haptic,0.33,gustatory,0.24,bidominant,1.57,2.62,4.67,0.71,4.24,Haptic,0.29
162,gorgeous,pair of shoes,song,40,41,1.00,1.00,0.48,0.03,2.38,0.68,4.93,4.78,0.07,0.15,0.05,0.88,0.26,1.31,visual,0.58,auditory,0.80,bidominant,1.48,2.52,2.19,2.86,4.90,Visual,0.25
163,grainy,photograph,sugar,43,42,0.95,0.98,0.29,0.00,1.51,0.12,4.78,1.17,3.44,4.54,0.17,3.90,0.74,0.74,visual,0.71,haptic,0.33,bidominant,1.24,2.33,4.19,0.48,3.43,Haptic,0.32
164,granular,black pepper,washing powder,40,42,0.93,0.95,0.76,3.05,3.81,0.59,4.03,0.78,1.13,4.13,0.70,3.93,0.95,0.31,visual,0.28,haptic,0.32,bidominant,,,,,,,
165,grassy,green tea,hill,43,40,0.96,0.99,0.07,4.54,0.80,2.68,2.00,0.54,0.26,3.78,1.78,4.70,0.51,1.03,gustatory,0.44,visual,0.40,bidominant,0.20,0.33,3.24,3.00,4.62,Visual,0.39
166,gray,elephant,pebble,43,43,1.00,1.00,0.12,0.02,0.09,0.00,5.00,0.07,0.02,0.30,0.02,4.95,1.00,0.04,visual,0.96,visual,0.92,unidominant,,,,,,,
167,greasy,cheeseburger,hair wax,41,40,1.00,1.00,0.39,4.63,4.05,2.68,4.27,0.30,0.48,4.83,1.35,3.98,0.83,0.59,gustatory,0.26,haptic,0.41,bidominant,0.19,3.81,3.95,2.33,3.76,Haptic,0.27
168,green,broccoli,grass,43,42,1.00,0.98,0.00,1.42,0.65,0.60,4.84,0.22,0.32,1.15,1.54,4.88,0.96,0.30,visual,0.64,visual,0.58,unidominant,0.24,0.52,0.38,0.71,4.95,Visual,0.69
169,grinding,pepper mill,teeth,42,40,0.98,1.00,3.83,0.61,1.76,1.93,4.07,4.50,0.13,2.03,0.03,3.53,0.94,0.35,visual,0.28,auditory,0.44,bidominant,,,,,,,
170,gritty,footpath,sand,43,40,0.98,0.99,2.05,0.10,3.88,0.43,4.14,0.92,1.23,4.68,0.13,3.53,0.95,0.32,visual,0.38,haptic,0.43,bidominant,1.86,1.86,4.33,0.19,3.48,Haptic,0.35
171,groaning,floorboard,patient,43,43,0.95,1.00,4.68,0.00,2.02,0.00,1.49,4.88,0.00,0.40,0.02,3.30,0.91,0.43,auditory,0.57,auditory,0.57,unidominant,4.48,0.00,0.14,0.05,2.14,Auditory,0.66
172,grotesque,costume,performance,40,41,1.00,1.00,0.35,0.05,1.85,0.65,4.90,3.41,0.07,0.54,0.34,4.66,0.82,0.61,visual,0.62,visual,0.51,unidominant,1.76,2.76,2.86,3.00,4.38,Visual,0.18
173,growling,guard dog,stomach,42,43,0.98,0.99,4.80,0.02,0.68,0.20,4.27,4.72,0.12,2.19,0.05,0.31,0.76,0.71,auditory,0.48,auditory,0.63,unidominant,4.62,0.10,0.19,0.19,3.05,Auditory,0.56
174,gurgling,baby,coffee machine,42,40,1.00,1.00,4.55,0.12,0.69,0.40,3.86,4.80,0.54,1.03,2.23,3.70,0.96,0.29,auditory,0.46,auditory,0.35,unidominant,4.38,0.48,0.71,0.52,3.24,Auditory,0.42
175,hairy,coconut,mammoth,40,43,0.99,1.00,0.38,1.05,4.78,0.23,4.53,0.19,0.07,3.98,0.33,4.74,0.98,0.19,haptic,0.41,visual,0.50,bidominant,0.19,0.19,4.43,0.19,4.48,Visual,0.45
176,handsome,dog,youth,43,43,1.00,1.00,0.47,0.00,1.51,0.30,4.84,0.93,0.12,1.14,0.72,4.91,0.99,0.14,visual,0.68,visual,0.61,unidominant,0.90,0.33,1.43,1.38,4.95,Visual,0.51
177,happy,face,music,41,40,1.00,1.00,1.63,0.05,1.56,0.07,4.88,4.85,0.08,0.45,0.13,1.20,0.54,1.00,visual,0.59,auditory,0.71,bidominant,3.62,1.14,1.24,1.29,4.33,Visual,0.27
178,hard,liquor,marble,42,40,1.00,1.00,0.19,4.69,0.74,3.62,1.81,2.10,0.60,4.90,0.08,3.45,0.34,1.23,gustatory,0.41,haptic,0.43,bidominant,1.29,1.00,4.71,0.10,3.90,Haptic,0.42
179,harsh,cry,wind,42,40,0.99,1.00,4.86,0.32,0.66,0.20,2.90,3.98,0.10,4.00,0.43,3.10,0.84,0.57,auditory,0.52,haptic,0.34,bidominant,3.33,2.29,2.52,1.81,3.19,Auditory,0.12
180,heavy,brushstroke,washing machine,43,40,1.00,0.99,1.21,0.00,3.28,0.12,4.16,1.35,0.00,3.59,0.03,3.73,0.99,0.10,visual,0.47,visual,0.43,unidominant,1.71,0.57,3.90,0.24,3.52,Haptic,0.37
181,herby,dressing,garden,43,40,0.88,0.97,0.00,4.50,0.53,3.16,2.47,0.33,1.71,1.76,3.38,4.05,0.83,0.59,gustatory,0.42,visual,0.33,bidominant,0.05,4.81,0.76,4.14,2.81,Gustatory,0.38
182,high,pitch,tower,40,41,1.00,1.00,4.93,0.00,0.73,0.00,0.58,0.24,0.00,1.29,0.05,4.98,0.19,1.38,auditory,0.79,visual,0.76,bidominant,2.48,0.29,2.29,0.29,4.38,Visual,0.42
183,hissing,cat,steam train,43,42,1.00,0.98,4.91,0.00,0.79,0.16,3.95,4.78,0.10,0.46,0.93,3.41,0.99,0.15,auditory,0.50,auditory,0.48,unidominant,4.52,0.05,0.33,0.05,2.10,Auditory,0.64
184,hoarse,crow,throat,40,42,0.88,1.00,4.54,0.03,0.37,0.00,1.46,3.52,0.60,1.67,0.26,1.05,0.93,0.38,auditory,0.71,auditory,0.46,unidominant,3.90,0.35,1.45,0.15,1.55,Auditory,0.51
185,hollow,barrel,face,43,40,1.00,0.96,2.77,0.09,3.16,0.19,4.65,0.47,0.03,3.21,0.05,4.54,0.93,0.37,visual,0.42,visual,0.54,unidominant,3.86,0.57,4.14,0.10,4.38,Visual,0.33
186,honeyed,cookies,voice,43,43,0.98,0.93,0.21,4.57,1.24,3.45,3.26,4.50,0.15,0.25,0.20,0.53,0.14,1.43,gustatory,0.34,auditory,0.77,bidominant,0.33,4.10,1.33,3.57,3.05,Gustatory,0.30
187,hot,chili pepper,grill pan,40,41,1.00,1.00,0.30,4.83,1.15,3.33,2.08,1.37,0.49,4.78,1.85,3.22,0.54,1.01,gustatory,0.39,haptic,0.37,bidominant,1.05,4.43,4.86,1.67,3.33,Haptic,0.25
188,howling,wind,wolf,43,42,1.00,0.98,4.70,0.07,2.21,0.35,2.14,4.95,0.00,0.29,0.15,3.63,0.92,0.41,auditory,0.49,auditory,0.55,unidominant,4.95,0.14,0.14,0.14,2.81,Auditory,0.59
189,huge,bellow,giant,42,40,0.82,1.00,2.47,0.15,1.54,0.44,3.09,1.98,0.00,1.80,0.10,4.98,0.96,0.30,visual,0.38,visual,0.56,unidominant,1.43,0.38,3.71,0.33,4.95,Visual,0.43
190,humid,bathroom,rainforest,43,40,1.00,0.99,0.23,0.51,3.70,2.40,3.07,0.69,0.60,3.73,2.43,2.72,0.99,0.11,haptic,0.35,haptic,0.31,unidominant,0.24,0.48,3.29,1.43,1.76,Haptic,0.42
191,humming,bee,fridge,43,43,1.00,1.00,4.81,0.00,0.67,0.07,2.42,4.81,0.02,1.19,0.00,0.35,0.92,0.40,auditory,0.60,auditory,0.76,unidominant,,,,,,,
192,hushed,crowd,whisper,40,41,1.00,1.00,4.68,0.03,0.45,0.08,3.55,4.90,0.02,0.22,0.02,2.76,0.99,0.14,auditory,0.53,auditory,0.62,unidominant,4.38,0.00,0.14,0.05,1.81,Auditory,0.69
193,husky,seedpod,voice,42,43,0.61,0.98,0.52,0.69,3.62,0.28,3.54,5.00,0.02,0.19,0.00,0.40,0.18,1.39,haptic,0.39,auditory,0.89,bidominant,4.62,0.33,0.57,0.71,1.29,Auditory,0.57
