Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
194,icy,fingers,river,42,40,1.00,1.00,0.10,0.83,4.88,0.29,2.40,1.00,1.03,4.23,0.50,4.48,0.93,0.38,haptic,0.56,visual,0.35,bidominant,1.24,1.90,4.43,0.62,4.52,Visual,0.31
195,immense,headache,search light,40,43,0.98,1.00,0.69,0.00,2.93,0.00,0.95,0.21,0.02,0.21,0.07,4.74,0.35,1.21,haptic,0.64,visual,0.90,bidominant,2.33,1.62,2.10,1.67,4.00,Visual,0.20
196,insipid,food,poetry,43,43,0.63,0.88,0.19,4.39,1.22,2.78,2.52,3.95,0.05,0.26,0.00,2.26,0.26,1.31,gustatory,0.38,auditory,0.60,bidominant,0.29,0.86,0.43,1.43,1.71,Visual,0.30
197,itchy,mosquito bite,shawl,41,40,1.00,1.00,0.27,0.02,4.88,0.17,2.39,0.18,0.13,4.68,0.05,2.15,1.00,0.04,haptic,0.63,haptic,0.64,unidominant,1.29,0.33,4.81,0.29,3.14,Haptic,0.46
198,jagged,cliffs,saw,42,43,0.98,0.95,0.37,0.05,3.61,0.05,4.78,1.78,0.00,4.17,0.07,4.76,0.97,0.23,visual,0.53,visual,0.44,unidominant,0.62,0.48,4.76,0.24,4.71,Haptic,0.42
199,jammy,donut,toast,42,40,1.00,1.00,0.69,4.71,3.60,2.52,3.98,0.38,4.55,2.95,2.75,3.80,1.00,0.09,gustatory,0.26,gustatory,0.29,unidominant,0.24,4.71,1.52,2.48,3.33,Gustatory,0.36
200,jingling,keys,triangle,43,40,1.00,0.99,4.91,0.00,2.16,0.05,3.09,4.63,0.00,1.35,0.00,3.28,0.99,0.13,auditory,0.48,auditory,0.50,unidominant,4.95,0.15,1.10,0.15,2.95,Auditory,0.52
201,juicy,orange,steak,43,43,1.00,1.00,0.56,4.65,2.98,1.86,3.51,1.16,4.93,3.58,2.70,3.95,0.99,0.11,gustatory,0.30,gustatory,0.23,unidominant,1.43,4.86,2.19,2.81,3.62,Gustatory,0.23
202,khaki,dried mud,shirt,40,41,0.93,0.98,0.19,0.22,1.38,0.30,4.30,0.03,0.03,2.25,0.13,4.78,0.99,0.15,visual,0.64,visual,0.66,unidominant,0.30,0.10,0.55,0.25,4.95,Visual,0.79
203,large,mug,vehicle,42,43,0.95,1.00,0.45,0.30,4.05,0.13,4.88,2.63,0.00,3.21,0.47,4.98,0.93,0.37,visual,0.48,visual,0.44,unidominant,1.48,0.57,4.19,0.38,4.86,Visual,0.39
204,laughing,smiley,studio audience,41,40,1.00,1.00,3.76,0.00,0.68,0.00,4.73,4.90,0.05,0.35,0.03,4.00,0.98,0.22,visual,0.52,auditory,0.52,bidominant,4.71,0.05,0.55,0.05,4.33,Auditory,0.48
205,leathery,hide,texture,43,40,1.00,0.99,0.56,0.56,4.44,2.56,3.67,0.59,0.38,4.80,2.00,3.93,0.99,0.11,haptic,0.33,haptic,0.38,unidominant,0.52,0.38,4.57,2.86,4.14,Haptic,0.34
206,lemony,cheesecake,dish soap,43,43,1.00,1.00,0.05,4.93,0.23,3.53,2.37,0.14,0.91,0.26,4.74,0.98,0.73,0.75,gustatory,0.44,olfactory,0.66,bidominant,0.00,4.95,0.71,3.71,2.90,Gustatory,0.40
207,light,cologne,feather,40,41,1.00,1.00,0.13,0.90,0.33,4.63,0.30,0.88,0.05,4.63,0.07,4.07,0.11,1.46,olfactory,0.72,haptic,0.47,bidominant,1.00,1.57,2.38,1.00,4.14,Visual,0.31
208,lilting,tune,walk,43,42,0.60,0.62,4.30,0.27,0.62,0.12,1.23,0.96,0.15,1.46,0.15,3.38,0.54,1.00,auditory,0.64,visual,0.53,bidominant,2.27,0.36,1.42,0.55,2.55,Visual,0.31
209,lithe,ballet dancer,bamboo,40,42,0.60,0.63,1.04,0.00,0.58,0.00,4.33,0.54,0.56,3.58,0.15,3.70,0.80,0.65,visual,0.73,visual,0.42,unidominant,0.00,0.17,3.00,0.17,4.17,Visual,0.56
210,long,fence,moan,43,40,1.00,0.96,0.07,0.00,2.40,0.02,4.95,4.67,0.03,0.29,0.00,2.00,0.39,1.17,visual,0.67,auditory,0.67,bidominant,0.71,0.00,3.90,0.00,4.76,Visual,0.51
211,loose,cable ,clothes,43,43,1.00,1.00,0.53,0.02,4.09,0.00,4.44,0.56,0.00,4.49,0.00,4.72,1.00,0.02,visual,0.49,visual,0.48,unidominant,0.38,0.05,3.81,0.14,4.14,Visual,0.48
212,loud,drill,necktie,41,40,1.00,1.00,4.95,0.00,1.02,0.32,2.39,1.98,0.00,0.28,0.05,2.28,0.92,0.41,auditory,0.57,visual,0.50,bidominant,4.95,0.24,0.24,0.10,1.57,Auditory,0.68
213,low,bleating,doorframe,42,43,0.50,0.98,3.67,0.00,0.38,0.14,1.05,0.36,0.00,3.24,0.02,4.79,0.34,1.22,auditory,0.70,visual,0.57,bidominant,1.90,0.14,2.52,0.14,4.29,Visual,0.46
214,lukewarm,bath water,noodles,42,40,1.00,1.00,0.38,1.21,4.69,0.62,1.40,0.20,4.13,3.90,0.95,2.10,0.86,0.53,haptic,0.52,gustatory,0.35,bidominant,0.24,2.57,4.71,0.71,0.71,Haptic,0.50
215,lumpy,gravy,pillow,43,40,1.00,0.99,0.49,4.12,3.02,0.67,4.35,0.38,0.08,4.75,0.03,3.95,0.77,0.70,visual,0.31,haptic,0.51,bidominant,0.71,2.52,4.48,0.29,4.43,Haptic,0.34
216,lush,garden,peach,43,43,1.00,0.93,0.74,0.33,2.21,2.35,4.88,0.58,4.43,3.48,2.25,3.75,0.78,0.67,visual,0.43,gustatory,0.27,bidominant,0.86,2.95,3.00,3.00,4.05,Visual,0.23
217,meaty,body,stew,41,40,1.00,1.00,0.27,0.29,4.12,0.32,4.63,0.20,4.73,2.45,3.53,4.20,0.68,0.83,visual,0.45,gustatory,0.30,bidominant,0.10,4.81,1.62,3.29,3.76,Gustatory,0.35
218,mellow,french horn,wine,42,43,0.93,0.91,4.67,0.08,0.41,0.10,1.03,0.08,4.62,0.82,3.10,1.54,0.11,1.47,auditory,0.73,gustatory,0.45,bidominant,2.71,1.05,0.43,0.81,3.14,Visual,0.33
219,melted,candle,cheese,40,42,1.00,0.99,0.53,0.30,2.80,2.08,4.78,1.07,4.00,3.39,2.95,4.81,0.87,0.51,visual,0.43,visual,0.23,unidominant,0.86,2.71,3.86,1.57,4.86,Visual,0.29
220,metallic,blood,car,40,43,0.98,1.00,0.18,2.49,0.45,1.95,2.31,0.91,0.12,2.33,0.60,4.79,0.64,0.88,gustatory,0.31,visual,0.53,bidominant,,,,,,,
221,mild,curry,winter,43,43,1.00,0.98,0.07,4.77,0.35,3.12,1.67,0.93,0.07,3.07,0.60,3.50,0.32,1.24,gustatory,0.47,visual,0.42,bidominant,1.76,3.62,1.38,2.62,2.19,Gustatory,0.19
222,miniature,car,pizza,40,41,0.98,1.00,0.87,0.00,2.56,0.05,4.79,0.07,1.71,3.29,0.59,4.80,0.94,0.35,visual,0.58,visual,0.45,unidominant,0.43,0.14,3.33,0.19,4.57,Visual,0.51
223,minty,chewing gum,soap,42,43,0.98,0.98,0.24,4.93,0.68,3.90,1.32,0.00,1.52,1.21,4.12,1.33,0.85,0.55,gustatory,0.42,olfactory,0.50,bidominant,0.00,4.95,0.14,3.95,1.71,Gustatory,0.46
224,moaning,invalid,wife,43,42,0.91,0.98,4.46,0.13,0.56,0.18,2.05,4.80,0.07,0.76,0.29,3.71,0.97,0.23,auditory,0.59,auditory,0.49,unidominant,4.95,0.14,0.19,0.14,3.00,Auditory,0.57
225,moist,cake,grass,40,43,0.99,1.00,0.36,4.75,4.00,1.51,3.33,0.53,0.70,4.63,2.63,4.37,0.81,0.63,gustatory,0.31,haptic,0.32,bidominant,1.43,2.86,4.38,1.71,3.67,Haptic,0.21
226,motionless,air,statue,43,43,1.00,1.00,2.65,0.21,3.60,0.53,1.67,0.93,0.02,3.35,0.12,5.00,0.78,0.67,haptic,0.39,visual,0.53,bidominant,1.71,0.00,2.52,0.05,4.57,Visual,0.52
227,mottled,animal pelt,teeth,41,40,0.64,0.73,0.92,0.12,2.67,1.27,3.78,0.72,0.72,2.21,0.69,3.97,0.98,0.20,visual,0.42,visual,0.39,unidominant,0.64,0.64,1.33,0.73,4.36,Visual,0.48
228,mouldy,bread,cellar,42,43,0.98,0.91,0.02,2.88,1.71,2.63,4.83,0.18,0.44,2.67,3.51,4.51,0.90,0.44,visual,0.40,visual,0.38,unidominant,0.05,3.00,1.81,3.48,4.38,Visual,0.34
229,muddy,lake,path,40,42,1.00,1.00,0.83,0.70,3.68,1.70,4.65,1.62,0.31,4.12,1.26,4.52,0.99,0.17,visual,0.34,visual,0.36,unidominant,1.38,0.76,3.52,2.24,4.52,Visual,0.30
230,murky,dungeon,pond,40,43,0.96,1.00,1.18,0.05,2.05,2.18,4.45,0.63,0.37,1.93,1.77,4.72,0.99,0.15,visual,0.44,visual,0.46,unidominant,0.57,0.43,0.86,1.57,4.38,Visual,0.51
231,murmuring,grandmother,stream,43,43,1.00,1.00,4.84,0.05,0.28,0.00,2.79,4.70,0.05,1.33,0.28,2.67,0.98,0.20,auditory,0.61,auditory,0.52,unidominant,4.86,0.10,0.24,0.14,2.19,Auditory,0.63
232,mushroomy,forest,sauce,40,41,0.98,1.00,0.21,0.67,1.97,1.33,4.74,0.00,4.78,1.20,3.29,2.88,0.67,0.84,visual,0.51,gustatory,0.39,bidominant,0.05,4.76,1.76,3.00,3.86,Gustatory,0.35
233,mushy,apple butter,snow,43,42,0.95,0.98,0.90,4.00,4.05,1.41,3.51,2.41,1.32,4.83,0.34,3.88,0.88,0.50,haptic,0.23,haptic,0.35,unidominant,1.90,3.24,4.43,0.52,3.86,Haptic,0.28
234,musty,closet,old book,40,42,0.95,1.00,0.13,0.68,1.45,4.34,2.37,0.57,0.50,2.74,3.74,3.57,0.95,0.33,olfactory,0.47,olfactory,0.29,unidominant,0.47,1.74,0.63,4.32,3.21,Olfactory,0.37
235,narrow,alley,sleeve,43,40,1.00,0.97,0.72,0.02,1.53,0.23,4.95,0.16,0.00,4.15,0.00,4.51,0.90,0.46,visual,0.66,visual,0.51,unidominant,0.52,0.10,3.10,0.10,4.86,Visual,0.55
236,noisy,stadium,television,43,43,1.00,1.00,5.00,0.00,0.56,0.09,3.51,5.00,0.00,0.23,0.02,1.33,0.94,0.36,auditory,0.55,auditory,0.76,unidominant,4.95,0.05,0.29,0.05,1.67,Auditory,0.70
237,nutty,granola bar,spice,40,41,1.00,1.00,1.41,4.78,2.55,2.68,3.95,0.15,4.49,1.05,3.00,1.85,0.93,0.38,gustatory,0.22,gustatory,0.41,unidominant,0.33,4.95,1.48,3.00,3.57,Gustatory,0.35
238,odorous,coffee,sweat,43,42,1.00,0.98,0.12,2.56,0.33,4.95,1.28,0.24,1.56,1.00,4.88,1.39,0.98,0.21,olfactory,0.52,olfactory,0.51,unidominant,0.29,1.86,0.19,4.95,1.14,Olfactory,0.56
239,oily,french fries,puddle,40,42,1.00,1.00,0.30,4.78,4.35,2.75,4.23,0.38,0.76,3.29,1.12,4.17,0.86,0.53,gustatory,0.27,visual,0.39,bidominant,0.24,3.33,3.62,2.00,3.90,Visual,0.28
240,oniony,Russian dome,salad,40,43,0.58,1.00,0.17,1.48,1.22,1.48,3.92,0.07,4.93,0.98,3.88,3.37,0.83,0.59,visual,0.45,gustatory,0.37,bidominant,0.19,4.95,1.24,4.52,3.43,Gustatory,0.33
241,open,book,can,43,43,1.00,1.00,1.98,0.07,3.95,1.07,4.98,2.56,0.51,3.12,1.65,4.72,0.98,0.19,visual,0.41,visual,0.34,unidominant,1.33,0.10,3.43,0.19,4.76,Visual,0.48
242,orange,buoy,fruit juice,40,41,0.98,1.00,0.23,0.00,0.15,0.05,4.92,0.02,3.88,0.34,2.63,4.54,0.70,0.80,visual,0.92,visual,0.40,unidominant,0.10,2.81,1.14,2.33,4.62,Visual,0.41
243,oval,rugby ball,zeppelin,43,42,0.98,0.57,0.14,0.02,4.43,0.02,4.83,0.29,0.08,2.29,0.13,4.83,0.95,0.30,visual,0.51,visual,0.62,unidominant,0.05,0.29,3.95,0.19,4.62,Visual,0.50
244,painful,scream,sting,42,40,1.00,1.00,4.81,0.00,0.50,0.05,3.07,0.78,0.05,4.65,0.03,2.80,0.47,1.09,auditory,0.57,haptic,0.56,bidominant,3.33,0.81,4.62,0.76,3.86,Haptic,0.29
245,pale,face,star,43,43,1.00,1.00,0.09,0.09,0.67,0.05,4.95,0.09,0.07,0.00,0.02,4.79,0.99,0.14,visual,0.84,visual,0.96,unidominant,0.24,0.33,0.29,0.10,4.95,Visual,0.82
246,patterned,dress,tiles,43,43,1.00,1.00,0.23,0.00,1.72,0.00,4.86,0.28,0.00,2.26,0.00,4.98,1.00,0.09,visual,0.71,visual,0.66,unidominant,0.33,0.05,1.71,0.10,4.90,Visual,0.68
247,peachy,iced tea,skin,41,40,1.00,0.98,0.00,4.68,0.15,3.39,1.61,0.21,0.62,2.21,0.67,4.51,0.42,1.14,gustatory,0.48,visual,0.53,bidominant,0.05,3.62,2.14,3.05,3.24,Gustatory,0.30
248,peppery,jalape–o,salami,43,42,1.00,0.98,0.09,4.88,0.81,2.93,2.23,0.05,4.90,1.49,3.37,3.12,0.99,0.15,gustatory,0.44,gustatory,0.38,unidominant,0.10,4.95,0.33,3.52,2.67,Gustatory,0.42
249,perfumed,lady,letter,42,40,1.00,0.98,0.98,0.86,0.55,4.74,2.57,0.62,1.05,0.36,4.38,1.62,0.99,0.16,olfactory,0.43,olfactory,0.50,unidominant,0.10,2.29,0.19,4.90,0.48,Olfactory,0.60
250,petite,dress,gymnast,43,40,1.00,0.98,0.05,0.00,2.93,0.00,4.86,0.62,0.00,2.15,0.08,4.78,0.99,0.16,visual,0.62,visual,0.63,unidominant,0.29,0.00,2.71,0.00,4.52,Visual,0.60
251,pink,cotton candy,flamingo,43,43,1.00,1.00,0.05,1.44,0.19,0.65,4.86,0.05,0.02,0.14,0.02,5.00,0.95,0.31,visual,0.67,visual,0.95,unidominant,0.14,0.33,0.33,0.19,4.48,Visual,0.79
252,plain,fabric,food,41,40,1.00,1.00,0.05,0.00,2.83,0.10,4.80,0.10,4.98,0.80,3.00,2.88,0.45,1.10,visual,0.62,gustatory,0.41,bidominant,0.57,3.24,1.19,1.10,4.29,Visual,0.36
253,plastic,fork,toy,42,43,0.98,0.98,1.05,1.44,4.32,0.41,4.63,1.07,1.05,4.62,1.31,4.62,0.99,0.15,visual,0.36,haptic,0.28,bidominant,1.48,0.95,4.29,1.62,4.33,Visual,0.27
254,polished,shoes,speech,40,42,1.00,0.98,0.75,0.30,3.15,1.83,4.83,4.63,0.15,0.12,0.07,1.71,0.41,1.15,visual,0.42,auditory,0.68,bidominant,0.43,0.00,3.48,1.86,4.67,Visual,0.45
255,popping,balloon,cork,40,43,0.99,1.00,4.58,0.00,2.10,0.03,4.33,4.67,0.09,1.72,0.58,4.02,0.99,0.11,auditory,0.41,auditory,0.41,unidominant,4.19,0.48,1.57,0.48,3.52,Auditory,0.36
256,portly,pig,waiter,43,43,0.77,0.87,1.21,1.03,2.91,0.85,4.21,2.22,0.14,0.51,0.00,4.22,0.85,0.56,visual,0.33,visual,0.60,unidominant,0.33,0.83,2.25,0.92,4.00,Visual,0.44
257,prickly,cactus,dead leg,41,40,1.00,0.98,0.10,0.46,4.85,0.05,4.41,0.23,0.15,4.15,0.41,2.15,0.96,0.28,haptic,0.49,haptic,0.56,unidominant,1.19,0.95,4.90,0.29,4.14,Haptic,0.40
258,puffy,cushion,eyes,43,42,1.00,0.98,0.84,0.12,4.79,0.07,4.14,0.20,0.07,3.41,0.10,4.63,0.97,0.24,haptic,0.47,visual,0.54,bidominant,0.81,0.57,3.57,0.43,4.14,Visual,0.39
259,pulsing,strobe light,vein,40,42,0.90,1.00,1.08,0.11,0.72,0.03,4.69,1.40,0.00,4.24,0.02,3.40,0.75,0.72,visual,0.70,haptic,0.47,bidominant,3.43,0.05,4.48,0.19,4.14,Haptic,0.36
260,pungent,flower,garlic,43,43,0.98,0.98,0.07,1.05,0.67,4.50,1.95,0.05,3.93,0.45,4.55,0.81,0.86,0.54,olfactory,0.54,olfactory,0.46,unidominant,0.21,2.21,0.32,4.84,1.53,Olfactory,0.51
261,purple,bruise,crocus,43,43,1.00,0.72,0.02,0.05,1.37,0.00,4.93,0.06,0.06,0.06,0.16,4.61,0.97,0.26,visual,0.77,visual,0.92,unidominant,0.19,0.14,0.05,0.10,5.00,Visual,0.90
262,purring,cat,engine,40,41,1.00,0.98,4.63,0.00,2.08,0.18,2.70,4.50,0.00,1.60,0.85,2.33,0.99,0.15,auditory,0.48,auditory,0.49,unidominant,4.86,0.05,0.86,0.10,2.24,Auditory,0.59
263,quiet,graveyard,snake,42,43,0.98,1.00,4.83,0.05,0.44,0.34,2.98,4.42,0.02,0.60,0.07,3.42,0.99,0.12,auditory,0.55,auditory,0.51,unidominant,4.95,0.05,0.10,0.10,2.10,Auditory,0.67
264,radiant,halo,stove,42,40,1.00,0.98,0.88,0.07,1.00,0.07,4.48,0.82,0.23,3.15,0.95,4.03,0.89,0.47,visual,0.68,visual,0.41,unidominant,1.29,0.43,0.81,1.00,4.38,Visual,0.50
265,rancid,butter,garbage,40,43,0.90,1.00,0.08,4.64,0.97,3.89,2.69,0.09,1.09,1.19,4.95,3.35,0.83,0.59,gustatory,0.37,olfactory,0.46,bidominant,0.86,3.24,1.57,4.19,3.10,Olfactory,0.26
266,raspy,voice,wood file,43,43,1.00,0.91,4.98,0.00,0.12,0.00,0.49,2.49,0.10,3.79,0.28,2.92,0.53,1.02,auditory,0.89,haptic,0.39,bidominant,3.65,0.53,1.18,0.65,2.00,Auditory,0.39
267,rectangular,cell phone,soccer field,41,40,1.00,0.98,0.12,0.02,4.39,0.05,4.88,0.23,0.00,1.05,0.03,4.88,0.87,0.52,visual,0.51,visual,0.79,unidominant,0.00,0.10,3.95,0.00,4.81,Visual,0.54
268,red,fire truck,strawberry,42,43,0.98,0.98,0.68,0.12,0.05,0.02,4.98,0.00,1.81,0.88,1.12,5.00,0.91,0.43,visual,0.85,visual,0.57,unidominant,0.19,0.29,0.10,0.29,4.71,Visual,0.83
269,reddish,blush,squirrel,42,40,1.00,0.98,0.10,0.10,0.81,0.07,4.79,0.18,0.00,0.10,0.00,4.69,0.99,0.15,visual,0.80,visual,0.94,unidominant,0.10,0.20,0.15,0.20,4.70,Visual,0.86
270,resounding,bathroom,church organ,40,43,0.88,1.00,4.19,0.06,0.49,0.63,1.37,4.77,0.00,1.16,0.02,2.19,0.98,0.21,auditory,0.61,auditory,0.59,unidominant,3.83,0.06,0.44,0.06,1.83,Auditory,0.61
271,reverberating,echo,guitar string,43,43,1.00,1.00,4.81,0.00,1.35,0.02,0.40,4.63,0.00,3.67,0.00,3.60,0.83,0.60,auditory,0.73,auditory,0.39,unidominant,3.31,0.00,2.31,0.00,2.15,Auditory,0.43
272,rhythmic,heartbeat,metronome,40,41,1.00,1.00,4.33,0.05,3.85,0.03,2.15,4.76,0.05,0.73,0.05,2.78,0.86,0.54,auditory,0.41,auditory,0.56,unidominant,4.62,0.00,1.33,0.10,2.48,Auditory,0.54
273,ripe,cheese,tomato,42,43,0.98,1.00,0.12,4.54,1.46,3.83,2.93,0.28,4.58,3.60,2.53,4.42,0.93,0.38,gustatory,0.34,gustatory,0.28,unidominant,0.10,4.52,3.38,3.67,4.14,Gustatory,0.28
274,rippled,plastic cup,water,40,42,0.98,1.00,2.59,0.13,3.79,0.08,4.21,2.55,0.21,2.69,0.19,4.71,0.98,0.20,visual,0.38,visual,0.44,unidominant,2.00,0.50,3.90,0.25,4.25,Visual,0.37
275,roaring,engine,lion,40,43,0.99,1.00,4.85,0.05,1.03,1.21,1.98,5.00,0.02,0.42,0.07,3.70,0.94,0.35,auditory,0.53,auditory,0.54,unidominant,,,,,,,
276,roasted,chicken,coffee beans,43,43,1.00,1.00,1.30,3.72,1.86,4.49,4.51,1.88,2.93,1.23,4.70,3.63,0.98,0.18,visual,0.20,olfactory,0.24,bidominant,1.33,4.43,1.76,3.86,4.19,Gustatory,0.20
277,rotten,apple,egg,41,40,1.00,1.00,0.12,4.37,3.46,3.88,4.49,0.08,4.20,1.53,4.75,3.98,0.96,0.27,visual,0.27,olfactory,0.32,bidominant,0.19,3.29,2.57,3.95,4.10,Visual,0.28
278,rough,sketch,tree bark,43,42,1.00,0.98,0.37,0.05,2.23,0.14,4.60,1.00,0.32,4.73,0.20,3.95,0.91,0.43,visual,0.62,haptic,0.44,bidominant,2.29,1.62,4.90,0.71,4.05,Haptic,0.31
279,round,coin,planet,42,40,1.00,1.00,0.21,0.38,4.62,0.02,4.93,0.48,0.03,1.18,0.00,4.30,0.88,0.49,visual,0.48,visual,0.72,unidominant,0.24,0.19,4.38,0.00,4.48,Visual,0.48
280,rubbery,calamari,shoe sole,43,40,0.98,0.99,0.52,4.64,4.00,0.57,2.93,1.38,0.28,4.30,1.13,3.55,0.76,0.71,gustatory,0.33,haptic,0.38,bidominant,1.14,2.14,4.50,2.14,3.62,Haptic,0.25
281,rumbling,stomach,train,43,43,1.00,1.00,4.44,0.26,3.28,0.23,0.28,4.70,0.02,2.47,0.07,2.93,0.89,0.48,auditory,0.50,auditory,0.46,unidominant,4.24,0.20,1.67,0.24,2.48,Auditory,0.46
282,rustling,leaves,wrapping paper,40,41,1.00,1.00,4.38,0.25,2.28,0.53,3.63,4.88,0.00,2.85,0.05,3.54,0.99,0.12,auditory,0.37,auditory,0.43,unidominant,4.67,0.20,2.52,0.55,3.05,Auditory,0.41
283,rusty,car,key,43,42,1.00,0.98,1.47,0.14,3.63,1.44,4.60,0.56,0.78,3.44,1.68,4.59,0.98,0.19,visual,0.40,visual,0.36,unidominant,1.14,0.67,3.00,1.57,4.29,Visual,0.34
284,salty,bacon,tidemark,42,40,1.00,0.68,0.40,4.95,0.95,1.98,1.48,0.26,3.89,0.89,2.26,1.37,0.99,0.14,gustatory,0.47,gustatory,0.42,unidominant,0.05,4.81,0.67,1.71,1.86,Gustatory,0.52
285,savory,pie,scone,43,40,1.00,0.94,0.35,5.00,1.19,4.00,3.44,0.24,4.74,1.11,3.53,2.50,1.00,0.10,gustatory,0.33,gustatory,0.37,unidominant,,,,,,,
286,scaly,fish,lizard,40,42,0.98,0.99,0.41,1.54,4.72,0.67,4.44,0.54,0.20,4.52,0.07,4.24,0.98,0.22,haptic,0.37,haptic,0.47,unidominant,0.14,1.00,4.43,0.10,4.33,Haptic,0.43
287,scented,rose,tea,41,40,1.00,1.00,0.02,0.66,0.63,4.90,1.15,0.18,3.70,0.25,4.70,1.28,0.86,0.53,olfactory,0.66,olfactory,0.45,unidominant,0.05,2.33,0.10,4.76,1.00,Olfactory,0.57
288,scratchy,record,wool,42,43,0.98,1.00,4.73,0.00,1.98,0.07,2.63,0.77,0.19,4.79,0.33,2.86,0.63,0.88,auditory,0.50,haptic,0.52,bidominant,3.29,0.05,4.14,0.10,2.86,Haptic,0.39
289,scrawny,boy,legs,40,42,1.00,1.00,0.60,0.00,2.45,0.05,4.95,0.21,0.07,3.55,0.07,4.74,0.98,0.20,visual,0.61,visual,0.54,unidominant,0.67,0.29,2.57,0.29,4.76,Visual,0.52
290,screaming,child,seagull,40,43,0.97,1.00,4.95,0.00,0.58,0.08,3.95,4.88,0.00,0.16,0.14,3.23,0.99,0.11,auditory,0.52,auditory,0.58,unidominant,4.95,0.05,0.14,0.05,2.81,Auditory,0.61
