Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
291,screeching,owl,toddler,43,43,1.00,1.00,4.91,0.00,0.19,0.00,2.60,4.93,0.00,0.56,0.00,3.79,0.98,0.18,auditory,0.64,auditory,0.53,unidominant,4.95,0.10,0.33,0.24,2.33,Auditory,0.61
292,shadowy,alleyway,canopy,40,41,1.00,1.00,0.58,0.03,0.45,0.25,4.93,0.07,0.00,1.20,0.07,4.66,0.98,0.19,visual,0.79,visual,0.78,unidominant,0.29,0.14,0.29,0.14,4.71,Visual,0.82
293,shaggy,haircut,rug,42,43,0.98,0.95,0.22,0.20,3.68,0.34,4.83,0.56,0.07,4.68,0.37,4.44,0.99,0.17,visual,0.50,haptic,0.46,bidominant,0.19,0.00,4.10,0.14,4.19,Visual,0.49
294,shallow,breathing,pond,40,42,1.00,1.00,4.33,0.00,1.10,0.08,2.45,1.00,0.07,4.10,0.10,4.19,0.63,0.89,auditory,0.54,visual,0.44,bidominant,1.38,0.29,3.33,0.19,4.24,Visual,0.43
295,sharp,cheese,thorn,43,40,1.00,0.99,0.02,4.47,1.07,3.37,1.77,0.23,0.18,4.90,0.03,4.23,0.35,1.21,gustatory,0.42,haptic,0.51,bidominant,1.05,1.19,4.57,0.33,4.43,Haptic,0.37
296,sheer,cliff face,stockings,43,43,0.81,0.93,0.40,0.03,1.60,0.06,4.74,0.20,0.10,3.55,0.18,4.30,0.93,0.37,visual,0.69,visual,0.50,unidominant,0.58,0.00,2.89,0.00,4.53,Visual,0.57
297,shimmering,heat waves,sequins,40,41,0.98,0.88,0.44,0.21,2.00,0.54,4.08,0.72,0.00,1.50,0.00,4.67,0.98,0.20,visual,0.53,visual,0.68,unidominant,0.76,0.24,0.86,0.33,4.76,Visual,0.65
298,shiny,saxophone,spoon,42,43,0.98,1.00,0.51,0.15,1.59,0.17,4.93,0.23,0.28,1.91,0.09,4.84,1.00,0.09,visual,0.65,visual,0.65,unidominant,0.10,0.05,1.86,0.05,4.95,Visual,0.70
299,short,stick,toe,40,42,1.00,1.00,0.08,0.23,3.58,0.03,4.90,0.02,0.05,3.64,0.05,4.81,1.00,0.04,visual,0.55,visual,0.56,unidominant,0.57,0.14,3.24,0.14,4.95,Visual,0.53
300,shrieking,bird of prey,child,40,43,0.99,1.00,4.58,0.00,0.44,0.03,3.40,4.88,0.00,0.44,0.14,3.77,1.00,0.03,auditory,0.54,auditory,0.53,unidominant,4.95,0.14,0.14,0.14,2.71,Auditory,0.59
301,shrill,tea kettle,whistle,43,43,0.91,0.95,4.56,0.10,1.26,0.62,3.10,4.76,0.02,0.27,0.00,0.68,0.88,0.49,auditory,0.46,auditory,0.83,unidominant,4.79,0.11,0.26,0.11,1.53,Auditory,0.69
302,silky,bra,satin,41,40,1.00,1.00,0.15,0.10,4.93,0.12,4.05,0.40,0.28,4.75,0.15,3.33,1.00,0.10,haptic,0.52,haptic,0.52,unidominant,0.24,0.38,4.90,0.00,3.76,Haptic,0.53
303,silver,nail polish,spoon,43,42,1.00,0.98,0.12,0.19,0.72,0.53,4.93,1.00,1.07,1.37,0.83,4.83,0.96,0.28,visual,0.74,visual,0.44,unidominant,0.05,0.24,0.67,0.33,4.57,Visual,0.77
304,sizzling,cooking oil,sausages,40,42,1.00,1.00,4.70,1.13,2.38,2.63,4.28,4.19,2.67,2.40,3.74,4.24,0.97,0.25,auditory,0.24,visual,0.11,bidominant,,,,,,,
305,skinny,legs,rope,40,43,0.99,1.00,0.10,0.00,3.45,0.00,4.85,0.14,0.05,4.49,0.02,4.84,0.99,0.13,visual,0.58,visual,0.50,unidominant,0.38,0.14,4.00,0.19,4.90,Visual,0.50
306,slick,hair,tyre,43,43,0.98,0.81,0.12,0.21,4.50,0.71,4.69,1.03,0.11,3.00,0.11,3.63,0.97,0.23,visual,0.45,visual,0.45,unidominant,1.57,0.14,3.52,0.19,3.81,Visual,0.40
307,slimy,seaweed,slug,40,41,1.00,1.00,0.60,2.18,4.68,0.90,3.58,0.56,1.02,4.54,0.41,4.29,0.97,0.23,haptic,0.34,haptic,0.38,unidominant,0.81,2.05,4.52,0.86,3.81,Haptic,0.31
308,slippery,ice rink,jello,43,42,1.00,0.98,1.12,0.07,4.65,0.23,3.72,0.56,3.24,4.93,0.32,3.51,0.88,0.49,haptic,0.47,haptic,0.37,unidominant,1.48,1.29,4.62,0.48,3.86,Haptic,0.35
309,slushy,slurpee,snow,42,40,1.00,1.00,2.24,4.55,3.79,0.57,4.00,2.30,1.65,4.43,0.28,4.30,0.92,0.41,gustatory,0.26,haptic,0.32,bidominant,2.24,1.86,3.52,0.43,3.57,Visual,0.27
310,small,mouse,sweater,40,43,0.96,1.00,1.05,0.05,4.00,0.13,4.83,0.07,0.00,3.65,0.02,4.58,0.99,0.16,visual,0.47,visual,0.55,unidominant,0.43,0.00,3.67,0.00,4.95,Visual,0.55
311,smelly,dirty laundry,toilet,43,43,1.00,1.00,0.07,0.60,1.35,5.00,2.51,0.12,0.47,0.53,4.88,2.86,0.99,0.16,olfactory,0.52,olfactory,0.54,unidominant,0.33,1.43,0.24,5.00,1.38,Olfactory,0.57
312,smoky,bbq,exhaust,41,40,1.00,1.00,1.27,3.17,1.37,4.46,4.12,1.18,0.98,0.73,3.90,4.20,0.95,0.32,olfactory,0.22,visual,0.32,bidominant,0.67,3.33,0.48,4.57,4.52,Olfactory,0.30
313,smooth,ship's hull,tie,43,42,0.93,0.98,0.73,0.08,4.28,0.08,4.15,0.46,0.05,4.76,0.10,4.10,1.00,0.08,haptic,0.45,haptic,0.50,unidominant,1.33,1.86,4.95,0.38,4.14,Haptic,0.36
314,snarling,utterance,wolf,42,40,0.90,1.00,4.47,0.03,0.16,0.05,2.03,4.70,0.00,0.53,0.15,4.35,0.95,0.32,auditory,0.66,auditory,0.48,unidominant,4.38,0.00,0.24,0.00,3.52,Auditory,0.54
315,snorting,horse,laughter,40,43,0.99,0.98,4.88,0.03,0.74,0.26,3.00,4.81,0.00,0.29,0.17,2.31,0.99,0.13,auditory,0.54,auditory,0.64,unidominant,4.65,0.35,0.30,0.35,2.80,Auditory,0.51
316,soapy,avocado,washcloth,43,43,0.98,1.00,0.05,3.21,2.64,1.29,2.02,0.37,0.74,4.37,2.00,4.56,0.80,0.64,gustatory,0.34,visual,0.35,bidominant,0.67,1.71,3.67,3.19,3.81,Visual,0.24
317,sodden,camping mat,lawn,41,40,0.73,0.93,0.77,0.20,3.90,1.60,3.80,0.49,0.43,3.30,1.81,3.76,0.99,0.11,haptic,0.36,visual,0.34,bidominant,0.39,0.11,3.56,0.72,3.67,Visual,0.42
318,soft,breeze,music,42,43,0.98,1.00,2.29,0.27,4.29,0.80,1.56,4.91,0.02,0.42,0.00,0.63,0.55,0.99,haptic,0.44,auditory,0.82,bidominant,1.67,1.33,4.95,0.67,4.14,Haptic,0.34
319,solid,pool ball,wood,42,40,1.00,1.00,1.88,0.43,4.33,0.05,3.93,1.80,0.40,4.60,0.18,4.03,1.00,0.04,haptic,0.40,haptic,0.40,unidominant,1.86,1.71,4.81,0.19,4.57,Haptic,0.35
320,sonorous,church bell,ship's horn,40,43,0.93,0.98,4.87,0.00,0.78,0.00,1.78,4.90,0.00,0.62,0.02,1.07,0.99,0.14,auditory,0.65,auditory,0.74,unidominant,4.78,0.00,0.89,0.11,0.67,Auditory,0.74
321,sore,muscle,throat,43,43,1.00,1.00,0.12,0.00,4.72,0.02,0.56,1.98,1.81,3.47,0.12,0.98,0.80,0.64,haptic,0.87,haptic,0.40,unidominant,1.05,0.10,4.29,0.10,3.19,Haptic,0.48
322,soundless,motion,signal,41,40,1.00,1.00,3.37,0.02,0.93,0.07,3.85,3.68,0.10,0.35,0.10,2.05,0.94,0.35,visual,0.46,auditory,0.57,bidominant,4.43,0.05,0.33,0.05,1.71,Auditory,0.67
323,sour,lemon,vinegar,43,42,0.98,0.98,0.02,4.95,0.36,2.50,1.02,0.10,4.83,0.12,3.83,0.46,0.97,0.23,gustatory,0.56,gustatory,0.51,unidominant,0.14,4.81,0.05,2.71,1.19,Gustatory,0.53
324,sparkly,stars,wine,43,40,1.00,0.99,0.05,0.00,0.23,0.00,4.91,1.13,3.68,0.74,1.10,4.08,0.71,0.77,visual,0.95,visual,0.31,unidominant,1.19,0.19,1.29,0.14,4.57,Visual,0.60
325,speckled,banana,hen,43,40,0.97,0.71,0.05,2.12,1.50,1.60,4.73,0.54,0.04,0.79,0.21,4.48,0.88,0.49,visual,0.47,visual,0.73,unidominant,0.33,0.14,1.43,0.24,4.71,Visual,0.67
326,spicy,incense,salsa,43,43,0.98,1.00,0.02,1.98,0.14,4.38,1.07,0.07,4.84,0.58,3.51,2.12,0.87,0.52,olfactory,0.57,gustatory,0.43,bidominant,0.33,5.00,0.43,4.24,1.67,Gustatory,0.40
327,spiky,hedgehog,sea anenome,41,40,0.98,0.98,0.23,0.23,4.68,0.03,4.55,0.10,0.62,4.33,0.13,4.49,1.00,0.08,haptic,0.48,visual,0.45,bidominant,0.67,0.81,4.86,0.14,4.52,Haptic,0.43
328,spotted,leopard,melon skin,42,43,0.98,0.99,0.10,0.00,0.22,0.05,4.78,0.17,0.79,2.12,0.71,4.74,0.91,0.42,visual,0.93,visual,0.54,unidominant,0.57,0.19,1.19,0.10,4.67,Visual,0.68
329,square,box,window,40,42,1.00,1.00,0.18,0.10,3.73,0.03,4.75,0.21,0.05,3.57,0.10,4.95,1.00,0.04,visual,0.54,visual,0.55,unidominant,0.00,0.05,4.00,0.00,4.43,Visual,0.52
330,squeaking,gym floor,hinge,43,40,1.00,0.96,4.91,0.05,2.14,0.23,1.98,4.72,0.05,0.74,0.03,1.08,0.96,0.28,auditory,0.52,auditory,0.71,unidominant,4.52,0.05,0.90,0.05,1.38,Auditory,0.65
331,squealing,car tyres,pig,43,43,0.98,1.00,4.86,0.05,0.67,1.40,3.02,4.93,0.02,0.28,0.12,2.98,0.97,0.23,auditory,0.48,auditory,0.59,unidominant,4.67,0.00,0.19,0.00,2.05,Auditory,0.68
332,stagnant,air,puddle,41,40,0.97,0.93,1.03,0.72,1.95,2.83,1.18,0.86,0.35,1.51,1.18,4.22,0.68,0.82,olfactory,0.27,visual,0.48,bidominant,0.40,1.05,1.05,3.10,3.15,Visual,0.31
333,stale,beer,bread,42,43,0.93,0.99,0.28,4.79,0.49,2.62,1.54,0.48,4.55,3.09,2.00,3.12,0.88,0.49,gustatory,0.46,gustatory,0.31,unidominant,0.71,4.71,2.71,3.81,3.76,Gustatory,0.25
334,steep,hill,staircase,40,42,1.00,1.00,0.43,0.00,2.43,0.10,4.83,0.69,0.10,3.36,0.05,4.81,0.99,0.15,visual,0.62,visual,0.53,unidominant,0.86,0.10,2.57,0.10,4.95,Visual,0.57
335,stenchy,sneakers,trash can,43,40,0.95,0.98,0.07,0.66,0.83,4.66,2.05,0.18,0.74,0.72,4.43,2.82,0.99,0.15,olfactory,0.55,olfactory,0.48,unidominant,0.33,1.52,0.19,4.90,1.90,Olfactory,0.53
336,sticky,cotton candy,glue,43,43,1.00,1.00,0.14,3.21,4.84,0.74,3.02,0.44,0.58,4.98,0.42,3.60,0.91,0.43,haptic,0.39,haptic,0.45,unidominant,0.05,2.38,4.62,0.43,3.10,Haptic,0.43
337,stinging,iodine,jellyfish,40,41,0.98,1.00,0.38,0.69,4.36,1.36,1.41,0.73,0.32,4.56,0.24,2.80,0.94,0.35,haptic,0.48,haptic,0.50,unidominant,0.38,0.14,4.67,0.05,1.76,Haptic,0.66
338,stinky,garbage dump,skunk,42,43,0.95,1.00,0.68,1.60,1.10,4.98,2.85,0.09,0.88,0.26,4.77,1.67,0.97,0.26,olfactory,0.38,olfactory,0.61,unidominant,0.24,1.95,0.10,4.76,1.48,Olfactory,0.55
339,straight,laser beam,road,42,40,1.00,1.00,0.43,0.12,0.57,0.12,4.83,0.40,0.03,0.95,0.03,4.90,1.00,0.08,visual,0.78,visual,0.77,unidominant,0.19,0.10,4.00,0.05,4.90,Visual,0.53
340,striped,pajamas,zebra,40,43,0.98,1.00,0.18,0.00,0.51,0.00,4.88,0.00,0.00,0.21,0.00,4.95,1.00,0.07,visual,0.88,visual,0.96,unidominant,0.29,0.10,0.90,0.05,4.52,Visual,0.76
341,strong,cable,whiskey,43,43,1.00,1.00,0.44,0.07,4.30,0.02,3.77,0.07,4.98,0.16,4.26,0.70,0.10,1.47,haptic,0.50,gustatory,0.48,bidominant,1.90,3.29,3.71,3.00,3.90,Visual,0.13
342,sturdy,ox,wall,41,40,1.00,1.00,0.88,0.05,3.10,0.34,4.54,1.03,0.05,4.35,0.05,3.70,0.96,0.27,visual,0.50,haptic,0.47,bidominant,0.76,0.29,4.19,0.24,4.14,Haptic,0.41
343,sunny,day,room,42,43,0.98,1.00,0.85,0.27,2.61,0.98,4.90,0.30,0.05,2.58,0.56,4.91,0.99,0.13,visual,0.48,visual,0.58,unidominant,0.29,0.10,0.95,0.29,4.95,Visual,0.74
344,sweaty,t shirt,towel,42,40,1.00,1.00,0.31,1.21,4.31,3.79,4.40,0.45,1.10,4.15,4.08,3.53,0.99,0.12,visual,0.29,haptic,0.28,bidominant,0.24,1.43,3.52,4.05,3.81,Olfactory,0.29
345,sweet,air freshener,chocolate,40,43,0.99,1.00,0.18,1.25,0.05,4.75,0.51,0.00,4.95,0.51,3.21,1.98,0.73,0.76,olfactory,0.70,gustatory,0.47,bidominant,1.19,4.86,0.57,3.90,2.19,Gustatory,0.34
346,swift,dolphin,jet fighter,43,43,1.00,1.00,2.30,0.00,0.84,0.07,4.86,2.95,0.00,0.53,0.00,4.81,0.99,0.12,visual,0.60,visual,0.58,unidominant,2.86,0.10,1.24,0.24,4.57,Visual,0.50
347,swinging,hammock,music,40,41,1.00,1.00,2.33,0.00,2.93,0.03,4.55,4.80,0.00,0.73,0.05,1.73,0.70,0.80,visual,0.46,auditory,0.66,bidominant,1.57,0.10,2.67,0.10,4.43,Visual,0.49
348,tall,basket ball player,skyscraper,43,42,1.00,0.98,0.88,0.02,2.02,0.07,4.98,0.32,0.00,0.78,0.07,4.95,0.97,0.25,visual,0.62,visual,0.81,unidominant,0.19,0.00,2.71,0.00,4.90,Visual,0.63
349,tangerine,buddhist robe,pumpkin,40,42,1.00,0.95,0.28,0.23,0.30,0.28,4.58,0.30,2.33,1.25,1.88,3.73,0.81,0.62,visual,0.77,visual,0.36,unidominant,0.29,4.19,2.10,3.24,4.33,Visual,0.29
350,tangy,lemon,marmalade,43,40,1.00,0.86,0.12,4.95,0.74,3.05,1.28,0.18,4.54,0.41,3.00,1.06,1.00,0.07,gustatory,0.48,gustatory,0.48,unidominant,0.19,4.75,0.19,3.10,0.81,Gustatory,0.50
351,tapering,carrot,pant legs,43,43,0.81,1.00,0.40,2.17,3.31,0.51,3.77,0.42,0.02,3.16,0.00,4.30,0.91,0.42,visual,0.33,visual,0.54,unidominant,0.60,0.20,3.00,0.20,3.40,Visual,0.43
352,tarry,lungs,pavement,40,41,0.83,0.93,1.55,0.64,1.73,0.48,2.85,0.26,0.16,3.29,2.08,4.39,0.89,0.47,visual,0.33,visual,0.42,unidominant,0.00,0.47,2.41,2.24,3.88,Visual,0.43
353,tart,cranberry,wine,43,42,0.98,0.90,0.17,4.76,0.83,2.00,1.93,0.21,4.71,0.29,2.95,0.68,0.96,0.30,gustatory,0.47,gustatory,0.51,unidominant,0.11,4.16,0.84,1.89,2.42,Gustatory,0.43
354,tasteless,clothes,water,42,40,1.00,1.00,0.12,2.05,0.98,1.05,3.26,0.13,4.93,0.28,2.05,1.30,0.74,0.74,visual,0.42,gustatory,0.55,bidominant,0.33,4.33,0.19,3.24,1.10,Gustatory,0.45
355,tender,bruise,steak,43,40,1.00,1.00,0.16,0.00,4.49,0.12,3.35,0.33,4.88,3.28,1.33,3.03,0.66,0.85,haptic,0.55,gustatory,0.35,bidominant,1.62,2.62,3.95,1.24,3.00,Haptic,0.22
356,tepid,bath,stew,43,43,0.67,0.84,0.59,0.24,4.17,0.62,2.90,0.22,4.14,1.78,2.42,2.17,0.57,0.96,haptic,0.46,gustatory,0.37,bidominant,0.32,1.37,3.68,0.47,1.00,Haptic,0.49
357,thorny,bramble,rose,41,40,0.93,1.00,0.34,0.16,4.55,0.08,4.32,0.10,0.20,4.80,0.20,4.33,1.00,0.05,haptic,0.47,haptic,0.49,unidominant,0.76,0.76,4.90,0.24,4.43,Haptic,0.42
358,thudding,footsteps,heartbeat,43,42,1.00,0.98,4.77,0.00,1.35,0.02,2.70,4.15,0.00,3.98,0.07,1.88,0.89,0.48,auditory,0.54,auditory,0.41,unidominant,4.57,0.05,2.24,0.05,2.86,Auditory,0.46
359,thumping,dryer,headache,40,42,1.00,0.99,4.85,0.03,2.58,0.30,2.98,1.79,0.15,3.57,0.12,0.78,0.79,0.65,auditory,0.45,haptic,0.54,bidominant,3.90,0.14,2.52,0.19,2.62,Auditory,0.40
360,ticklish,arm pit,sole,40,43,0.98,0.95,1.03,0.00,4.33,0.00,1.77,0.83,0.02,4.66,0.07,2.39,0.99,0.10,haptic,0.61,haptic,0.58,unidominant,1.10,0.19,4.67,0.14,2.67,Haptic,0.52
361,tight,collar,rope,43,43,1.00,1.00,0.33,0.00,4.63,0.00,3.84,0.37,0.05,4.79,0.05,4.49,1.00,0.06,haptic,0.53,haptic,0.49,unidominant,0.71,0.00,4.14,0.10,3.90,Haptic,0.47
362,tinkling,stream,wine glasses,40,41,1.00,0.98,4.03,0.35,1.85,0.50,3.58,4.18,0.23,1.85,0.18,3.38,1.00,0.07,auditory,0.36,auditory,0.41,unidominant,4.15,0.00,1.50,0.20,1.80,Auditory,0.54
363,tiny,ant,voice,43,42,1.00,0.98,0.44,0.14,2.72,0.07,4.93,4.78,0.02,0.24,0.07,0.68,0.23,1.34,visual,0.59,auditory,0.82,bidominant,0.62,0.24,3.33,0.05,4.62,Visual,0.52
364,tough,canvas,meat,42,40,1.00,1.00,0.86,0.29,4.79,0.17,3.45,0.28,4.35,3.73,0.50,2.43,0.74,0.73,haptic,0.48,gustatory,0.36,bidominant,0.57,2.14,3.76,0.14,3.38,Haptic,0.36
365,translucent,frosted glass,jellyfish,40,43,0.96,1.00,0.21,0.08,1.61,0.03,4.72,0.00,0.00,0.79,0.05,4.91,0.98,0.17,visual,0.71,visual,0.85,unidominant,0.42,0.21,1.05,0.21,4.68,Visual,0.68
366,transparent,ice cube,window,43,43,1.00,0.98,0.05,0.51,0.47,0.05,4.95,0.10,0.02,0.86,0.00,4.90,0.99,0.13,visual,0.81,visual,0.83,unidominant,0.25,0.14,0.62,0.14,4.81,Visual,0.78
367,triangular,road sign,tortilla chips,41,40,0.98,1.00,0.05,0.03,2.83,0.03,4.88,0.13,1.43,4.25,0.18,4.68,0.95,0.30,visual,0.62,visual,0.43,unidominant,0.29,0.00,3.57,0.00,4.62,Visual,0.54
368,ugly,blemish,witch,42,43,0.98,0.99,0.15,0.22,2.32,0.22,4.68,1.65,0.10,1.40,0.81,4.74,0.94,0.36,visual,0.60,visual,0.53,unidominant,0.86,0.71,1.67,1.14,5.00,Visual,0.46
369,uneven,countenance,surface,40,42,0.53,1.00,0.52,0.00,1.29,0.00,3.43,0.48,0.21,4.57,0.10,4.45,0.90,0.44,visual,0.65,haptic,0.46,bidominant,1.52,0.43,4.29,0.43,4.57,Visual,0.37
370,unripe,peach,red pepper,43,40,1.00,0.99,0.37,4.72,4.05,2.72,3.81,0.18,4.33,1.79,2.05,3.78,0.96,0.27,gustatory,0.28,gustatory,0.34,unidominant,0.29,3.95,3.43,2.67,4.14,Visual,0.27
371,vinegary,chemicals,pickles,42,40,1.00,0.93,0.38,4.10,0.76,4.17,1.31,0.08,4.92,0.22,3.89,0.84,0.98,0.18,olfactory,0.35,gustatory,0.49,bidominant,0.00,4.95,0.38,4.19,1.76,Gustatory,0.44
372,vivid,color,imagination,40,41,1.00,1.00,0.20,0.08,0.10,0.08,4.88,2.63,0.95,1.15,1.37,3.71,0.78,0.68,visual,0.90,visual,0.28,unidominant,2.52,1.71,1.19,1.62,4.52,Visual,0.29
373,wailing,mourner,siren,42,43,0.86,0.98,4.78,0.14,0.53,0.06,4.06,4.98,0.00,0.31,0.05,2.52,0.97,0.24,auditory,0.49,auditory,0.63,unidominant,4.95,0.15,0.25,0.10,2.85,Auditory,0.58
374,warbling,birdsong,opera singer,40,42,0.80,0.90,4.22,0.00,0.22,0.00,1.53,4.63,0.05,0.42,0.11,2.79,0.98,0.20,auditory,0.71,auditory,0.57,unidominant,3.94,0.25,0.81,0.25,1.94,Auditory,0.51
375,warm,fire,jacket,40,43,0.99,1.00,1.26,0.10,4.58,1.38,3.10,0.16,0.00,4.77,0.26,3.37,0.96,0.28,haptic,0.43,haptic,0.56,unidominant,0.62,2.86,4.81,1.14,2.38,Haptic,0.35
376,waxy,candle,complexion,43,43,1.00,1.00,0.14,0.49,4.67,1.12,4.07,0.12,0.33,4.09,0.49,4.02,0.99,0.11,haptic,0.43,haptic,0.44,unidominant,0.62,1.62,4.67,2.14,4.00,Haptic,0.31
377,weak,muscle,night light,40,41,1.00,1.00,0.23,0.08,4.05,0.03,2.78,0.27,0.00,0.41,0.07,4.80,0.63,0.88,haptic,0.56,visual,0.86,bidominant,1.86,2.14,3.19,1.43,3.67,Visual,0.18
378,weightless,astronaut,feather,43,42,0.98,0.98,0.36,0.00,1.86,0.00,4.55,0.63,0.15,4.32,0.05,3.54,0.88,0.50,visual,0.67,haptic,0.49,bidominant,1.24,0.29,4.29,0.14,3.05,Haptic,0.46
379,wet,patio,tongue,40,42,1.00,1.00,1.50,0.45,3.98,1.55,4.60,1.05,2.79,4.36,0.38,3.57,0.90,0.45,visual,0.34,haptic,0.33,bidominant,1.86,1.71,4.67,1.81,4.33,Haptic,0.21
380,whining,dog,toddler,40,43,1.00,1.00,4.85,0.00,0.55,0.13,3.00,4.98,0.00,0.37,0.33,4.23,0.99,0.16,auditory,0.57,auditory,0.50,unidominant,4.86,0.10,0.14,0.10,2.48,Auditory,0.62
381,whistling,life guard,supporter,43,43,1.00,1.00,4.88,0.00,0.23,0.00,3.58,4.95,0.00,0.19,0.00,3.42,1.00,0.03,auditory,0.56,auditory,0.58,unidominant,4.95,0.10,0.29,0.10,2.05,Auditory,0.65
382,white,sheets,swan,40,41,1.00,1.00,0.25,0.00,0.63,0.45,4.93,0.05,0.00,0.51,0.05,4.93,1.00,0.09,visual,0.79,visual,0.89,unidominant,0.24,0.10,0.10,0.14,4.57,Visual,0.87
383,wide,pants,street,42,43,0.98,1.00,0.20,0.05,3.66,0.05,4.76,1.23,0.00,1.14,0.12,4.98,0.89,0.47,visual,0.54,visual,0.67,unidominant,0.48,0.29,3.67,0.14,4.81,Visual,0.50
384,wiry,body,grass,40,42,0.90,0.89,0.56,0.11,2.58,0.08,4.19,0.38,0.43,4.39,0.27,3.97,0.96,0.29,visual,0.55,haptic,0.44,bidominant,1.05,0.76,4.10,0.29,4.19,Visual,0.38
385,wispy,clouds,sapling,40,43,0.91,0.74,0.64,0.06,0.33,0.08,4.51,1.50,0.19,2.63,0.50,3.75,0.85,0.56,visual,0.79,visual,0.42,unidominant,1.63,0.89,3.26,0.26,4.21,Visual,0.38
386,woolly,mittens,sheep,43,43,1.00,0.98,0.07,0.21,4.79,0.16,3.88,0.36,0.00,4.83,0.24,4.50,1.00,0.09,haptic,0.52,haptic,0.49,unidominant,0.14,0.14,4.43,0.14,4.29,Haptic,0.47
387,yellow,lemon,tennis ball,43,43,1.00,1.00,0.00,0.53,0.28,0.30,4.98,0.26,0.00,0.58,0.05,4.98,0.99,0.14,visual,0.82,visual,0.85,unidominant,0.15,0.05,0.00,0.05,4.90,Visual,0.95